id;jobid;campaignid;storeid;storeinstanceid;customerid;phonenumber;scheduledat;sendat;status;message;response;createdat;createdby;updatedat;updatedby
3286;3286;1305;P8PFMUJRP5;RHABGXPH;972;5.521.947.098.839,00;2024-09-03 00:55:00;Não informado;1970-01-01 00:00:00.000000001;Similique sequi nostrum dolorem reprehenderit dignissimos voluptatum fugit libero fugit ipsa cumque aliquam tempore.;Não informado;2024-09-02 15:42:00;Não informado;2024-09-03 15:40:00;Não informado
2529;2529;981;XXASOLANP4;8ZUZR9HF;843;5.511.940.122.465,00;2024-09-03 02:36:00;;1970-01-01 00:00:00.000000004;Ut sint velit velit dignissimos explicabo ab nostrum veniam.;Não informado;2024-09-03 02:02:00;Não informado;2024-09-03 20:57:00;Não informado
4403;4403;1674;HQXUK8FKQN;QPF0EEIT;129;5.571.904.434.179,00;2024-09-03 05:11:00;Não informado;1970-01-01 00:00:00.000000006;Facilis tempore aut libero molestiae enim amet illo eius eligendi quae voluptatum commodi labore.;Não informado;2024-09-02 16:19:00;Não informado;2024-09-02 18:17:00;Não informado
1031;1031;1653;KTRT2WE1ZI;TLUIJUQR;864;5.511.954.809.172,00;2024-09-03 05:46:00;;1970-01-01 00:00:00.000000005;Optio ea laboriosam voluptatum vitae facere nihil hic nihil molestias mollitia.;Não informado;2024-09-03 02:52:00;Não informado;2024-09-04 03:17:00;Não informado
80;80;1056;XGL9HQQGZ1;UNMAIVYB;5;5.521.995.967.072,00;2024-09-03 06:12:00;;1970-01-01 00:00:00.000000002;Fuga nam nemo perspiciatis quasi laudantium quasi ea quaerat omnis sapiente doloribus voluptatem nisi facilis repellat.;Não informado;2024-09-02 08:26:00;Não informado;2024-09-03 02:07:00;Não informado
844;844;511;EVUO4M23F0;RBMS0SOG;764;5.584.940.828.593,00;2024-09-03 07:30:00;Não informado;1970-01-01 00:00:00.000000006;Ipsam maiores hic corrupti dolores molestiae quibusdam ipsum nisi eligendi aliquid accusamus ipsum.;Não informado;2024-09-02 09:25:00;Não informado;2024-09-02 11:56:00;Não informado
2503;2503;306;EI6OSHMJRM;WEAF9WKN;153;5.551.903.813.875,00;2024-09-03 08:25:00;;1970-01-01 00:00:00.000000004;Consectetur facere pariatur odit culpa voluptates animi eveniet minus.;Porro voluptas debitis ratione eaque incidunt.;2024-09-02 13:16:00;Não informado;2024-09-03 17:51:00;Não informado
76;76;428;E17TZF3GLV;2ZLN51XK;139;5.571.929.444.102,00;2024-09-03 13:01:00;;1970-01-01 00:00:00.000000005;Temporibus deserunt doloremque qui accusamus repudiandae reiciendis iusto nihil exercitationem temporibus minima.;Vero hic unde corrupti eum voluptatum reprehenderit velit.;2024-09-03 11:02:00;Não informado;2024-09-03 21:55:00;Não informado
3449;3449;400;WQ6QNL3Z02;YMK4VZG9;559;5.531.909.373.896,00;2024-09-03 14:41:00;Não informado;1970-01-01 00:00:00.000000006;Modi iure eius sed fugit nobis porro possimus excepturi et officiis id nam ea.;Não informado;2024-09-03 06:12:00;Não informado;2024-09-03 13:25:00;Não informado
4848;4848;592;Q21HTQL9SU;PA7NEY2B;520;5.531.944.411.337,00;2024-09-03 18:20:00;;1970-01-01 00:00:00.000000003;Commodi eos exercitationem corrupti incidunt sed ipsam eum ipsam.;Não informado;2024-09-03 02:30:00;Não informado;2024-09-03 14:41:00;Não informado
848;848;1210;MRIDFNPAB0;XOFK1W35;380;5.521.968.269.622,00;2024-09-03 20:13:00;;1970-01-01 00:00:00.000000004;Impedit explicabo officiis repudiandae adipisci facere eaque non commodi aut.;Rerum maxime dolor blanditiis neque autem ex officia dolorum.;2024-09-03 00:02:00;Não informado;2024-09-03 22:46:00;Não informado
4153;4153;71;JG3705L5LG;0ULEQBSF;541;5.511.922.733.238,00;2024-09-03 23:34:00;;1970-01-01 00:00:00.000000002;Enim tempora sed maxime nemo ducimus doloremque voluptatem saepe.;Não informado;2024-09-03 00:25:00;Não informado;2024-09-03 13:49:00;Não informado
1679;1679;7;3V1UVVMXBI;7MATOGUM;467;5.581.983.608.310,00;2024-09-04 00:22:00;;1970-01-01 00:00:00.000000004;Totam similique deserunt officia quos eos blanditiis.;Não informado;2024-09-03 09:07:00;Não informado;2024-09-04 17:28:00;Não informado
2201;2201;1418;WZOHFK3D6T;W4QRXOI9;967;5.511.950.157.162,00;2024-09-04 00:59:00;;1970-01-01 00:00:00.000000005;Inventore sed explicabo repudiandae fuga commodi repellat eius repellendus quae minus amet sunt.;Não informado;2024-09-03 03:45:00;Não informado;2024-09-04 12:51:00;Não informado
